LOOP t=3 P=2,3,11,17,101,149,3109, N=52495396602 A=1
T2ITER t=2 P=2,3,11,17,101,149,3119,972799, N=51231726216163218 A=169440107
T2ITER t=2 P=2,3,11,17,101,149,3119,972823, N=51232990158076386 A=170743571
T2ITER t=2 P=2,3,11,17,101,149,3119,972827, N=51233200815061914 A=170960815
T2ITER t=2 P=2,3,11,17,101,149,3119,972833, N=51233516800540206 A=171286681
T2ITER t=2 P=2,3,11,17,101,149,3119,972847, N=51234254099989554 A=172047035
T2ITER t=2 P=2,3,11,17,101,149,3119,972869, N=51235412713409958 A=173241877
T2ITER t=2 P=2,3,11,17,101,149,3119,972887, N=51236360669844834 A=174219475
T2ITER t=2 P=2,3,11,17,101,149,3119,972899, N=51236992640801418 A=174871207
T2ITER t=2 P=2,3,11,17,101,149,3119,972901, N=51237097969294182 A=174979829
T2ITER t=2 P=2,3,11,17,101,149,3119,972941, N=51239204539149462 A=177152269
T2ITER t=2 P=2,3,11,17,101,149,3119,972943, N=51239309867642226 A=177260891
T2ITER t=2 P=2,3,11,17,101,149,3119,972967, N=51240573809555394 A=178564355
T2ITER t=2 P=2,3,11,17,101,149,3119,972977, N=51241100452019214 A=179107465
T2ITER t=2 P=2,3,11,17,101,149,3119,972991, N=51241837751468562 A=179867819
T2ITER t=2 P=2,3,11,17,101,149,3119,973001, N=51242364393932382 A=180410929
T2ITER t=2 P=2,3,11,17,101,149,3119,973003, N=51242469722425146 A=180519551
T2ITER t=2 P=2,3,11,17,101,149,3119,973031, N=51243944321323842 A=182040259
T2ITER t=2 P=2,3,11,17,101,149,3119,973033, N=51244049649816606 A=182148881
T2ITER t=2 P=2,3,11,17,101,149,3119,973051, N=51244997606251482 A=183126479
T2ITER t=2 P=2,3,11,17,101,149,3119,973057, N=51245313591729774 A=183452345
T2ITER t=2 P=2,3,11,17,101,149,3119,973067, N=51245840234193594 A=183995455
T2ITER t=2 P=2,3,11,17,101,149,3119,973069, N=51245945562686358 A=184104077
T2ITER t=2 P=2,3,11,17,101,149,3119,973073, N=51246156219671886 A=184321321
T2ITER t=2 P=2,3,11,17,101,149,3119,973081, N=51246577533642942 A=184755809
T2ITER t=2 P=2,3,11,17,101,149,3119,973099, N=51247525490077818 A=185733407
T2ITER t=2 P=2,3,11,17,101,149,3119,973129, N=51249105417469278 A=187362737
T2ITER t=2 P=2,3,11,17,101,149,3119,973151, N=51250264030889682 A=188557579
T2ITER t=2 P=2,3,11,17,101,149,3119,973169, N=51251211987324558 A=189535177
T2ITER t=2 P=2,3,11,17,101,149,3119,973177, N=51251633301295614 A=189969665
T2ITER t=2 P=2,3,11,17,101,149,3119,973187, N=51252159943759434 A=190512775
T2ITER t=2 P=2,3,11,17,101,149,3119,973213, N=51253529214165366 A=191924861
T2ITER t=2 P=2,3,11,17,101,149,3119,973253, N=51255635784020646 A=194097301
T2ITER t=2 P=2,3,11,17,101,149,3119,973277, N=51256899725933814 A=195400765
T2ITER t=2 P=2,3,11,17,101,149,3119,973279, N=51257005054426578 A=195509387
T2ITER t=2 P=2,3,11,17,101,149,3119,973283, N=51257215711412106 A=195726631
T2ITER t=2 P=2,3,11,17,101,149,3119,973289, N=51257531696890398 A=196052497
T2ITER t=2 P=2,3,11,17,101,149,3119,973321, N=51259216952774622 A=197790449
T2ITER t=2 P=2,3,11,17,101,149,3119,973331, N=51259743595238442 A=198333559
T2ITER t=2 P=2,3,11,17,101,149,3119,973333, N=51259848923731206 A=198442181
T2ITER t=2 P=2,3,11,17,101,149,3119,973367, N=51261639508108194 A=200288755
T2ITER t=2 P=2,3,11,17,101,149,3119,973373, N=51261955493586486 A=200614621
T2ITER t=2 P=2,3,11,17,101,149,3119,973387, N=51262692793035834 A=201374975
T2ITER t=2 P=2,3,11,17,101,149,3119,973397, N=51263219435499654 A=201918085
T2ITER t=2 P=2,3,11,17,101,149,3119,973409, N=51263851406456238 A=202569817
T2ITER t=2 P=2,3,11,17,101,149,3119,973411, N=51263956734949002 A=202678439
T2ITER t=2 P=2,3,11,17,101,149,3119,973421, N=51264483377412822 A=203221549
T2ITER t=2 P=2,3,11,17,101,149,3119,973439, N=51265431333847698 A=204199147
T2ITER t=2 P=2,3,11,17,101,149,3119,973459, N=51266484618775338 A=205285367
T2ITER t=2 P=2,3,11,17,101,149,3119,973487, N=51267959217674034 A=206806075
T2ITER t=2 P=2,3,11,17,101,149,3119,973523, N=51269855130543786 A=208761271
T2ITER t=2 P=2,3,11,17,101,149,3119,973529, N=51270171116022078 A=209087137
T2ITER t=2 P=2,3,11,17,101,149,3119,973537, N=51270592429993134 A=209521625
T2ITER t=2 P=2,3,11,17,101,149,3119,973547, N=51271119072456954 A=210064735
T2ITER t=2 P=2,3,11,17,101,149,3119,973561, N=51271856371906302 A=210825089
T2ITER t=2 P=2,3,11,17,101,149,3119,973591, N=51273436299297762 A=212454419
T2ITER t=2 P=2,3,11,17,101,149,3119,973597, N=51273752284776054 A=212780285
T2ITER t=2 P=2,3,11,17,101,149,3119,973631, N=51275542869153042 A=214626859
T2ITER t=2 P=2,3,11,17,101,149,3119,973657, N=51276912139558974 A=216038945
T2ITER t=2 P=2,3,11,17,101,149,3119,973669, N=51277544110515558 A=216690677
T2ITER t=2 P=2,3,11,17,101,149,3119,973681, N=51278176081472142 A=217342409
T2ITER t=2 P=2,3,11,17,101,149,3119,973691, N=51278702723935962 A=217885519
T2ITER t=2 P=2,3,11,17,101,149,3119,973727, N=51280598636805714 A=219840715
T2ITER t=2 P=2,3,11,17,101,149,3119,973757, N=51282178564197174 A=221470045
T2ITER t=2 P=2,3,11,17,101,149,3119,973759, N=51282283892689938 A=221578667
T2ITER t=2 P=2,3,11,17,101,149,3119,973781, N=51283442506110342 A=222773509
T2ITER t=2 P=2,3,11,17,101,149,3119,973787, N=51283758491588634 A=223099375
T2ITER t=2 P=2,3,11,17,101,149,3119,973789, N=51283863820081398 A=223207997
T2ITER t=2 P=2,3,11,17,101,149,3119,973801, N=51284495791037982 A=223859729
T2ITER t=2 P=2,3,11,17,101,149,3119,973813, N=51285127761994566 A=224511461
T2ITER t=2 P=2,3,11,17,101,149,3119,973823, N=51285654404458386 A=225054571
T2ITER t=2 P=2,3,11,17,101,149,3119,973837, N=51286391703907734 A=225814925
T2ITER t=2 P=2,3,11,17,101,149,3119,973853, N=51287234331849846 A=226683901
T2ITER t=2 P=2,3,11,17,101,149,3119,973891, N=51289235573212362 A=228747719
T2ITER t=2 P=2,3,11,17,101,149,3119,973897, N=51289551558690654 A=229073585
T2ITER t=2 P=2,3,11,17,101,149,3119,973901, N=51289762215676182 A=229290829
T2SPAN t=2 P=2,3,11,17,101,149,3119,973919, N=51290710172111058 A=230268427
T2ITER t=2 P=2,3,11,17,101,149,3119,973957, N=51292711413473574 A=232332245
