search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 35090518125 9995430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4457, 1)]
CAND 48191398125 7848870 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6121, 1)]
CAND 48270129375 7835970 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6131, 1)]
CAND 48285875625 7833390 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6133, 1)]
CAND 48364606875 7820490 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6143, 1)]
CAND 48427591875 7810170 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6151, 1)]
CAND 48522069375 7794690 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6163, 1)]
CAND 48600800625 7781790 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6173, 1)]
CAND 48789755625 7750830 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6197, 1)]
CAND 48805501875 7748250 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6199, 1)]
CAND 48836994375 7743090 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6203, 1)]
CAND 48899979375 7732770 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6211, 1)]
CAND 48947218125 7725030 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6217, 1)]
CAND 48978710625 7719870 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6221, 1)]
CAND 49041695625 7709550 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6229, 1)]
CAND 49183411875 7686330 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6247, 1)]
CAND 49262143125 7673430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6257, 1)]
CAND 49309381875 7665690 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6263, 1)]
CAND 49356620625 7657950 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6269, 1)]
CAND 49372366875 7655370 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6271, 1)]
